UTLA,UTLA_name,x_long,y_lat,area,RGN,RGN_name,popT,popT1,popT2,popT3,popM,popM1,popM2,popM3,popF,popF1,popF2,popF3,income,density
E06000017,Rutland,-0.654625,52.660773,393.733984,E12000004,East Midlands,39697,8341,24130,7226,20273,4328,12636,3309,19424,4013,11494,3917,34300,100.8218788
E06000018,Nottingham,-1.176518,52.960615,74.608087,E12000004,East Midlands,331069,73286,230817,26966,168142,37731,118529,11882,162927,35555,112288,15084,23403.2967,4437.441212
E06000019,"Herefordshire, County of",-2.745116,52.103688,2179.77927,E12000005,West Midlands,192107,38101,120360,33646,95055,19611,60117,15327,97052,18490,60243,18319,27018.96552,88.13140057
E06000020,Telford and Wrekin,-2.488788,52.730219,290.294416,E12000005,West Midlands,177799,42819,113936,21044,88364,21729,57138,9497,89435,21090,56798,11547,26464.81481,612.4781952
E06000021,Stoke-on-Trent,-2.164544,53.018069,93.437677,E12000005,West Midlands,255833,60493,164523,30817,128596,30840,83912,13844,127237,29653,80611,16973,23530.18868,2738.006853
E06000022,Bath and North East Somerset,-2.475206,51.355965,351.161179,E12000009,South West,192106,38528,126817,26761,95047,19876,63296,11875,97059,18652,63521,14886,30145.21739,547.059332
E06000023,"Bristol, City of",-2.60042,51.466787,109.605015,E12000009,South West,463405,99043,321146,43216,232381,50574,162776,19031,231024,48469,158370,24185,27247.14829,4227.95435
E06000024,North Somerset,-2.794129,51.389801,374.707392,E12000009,South West,213919,45717,130537,37665,104076,23480,63752,16844,109843,22237,66785,20821,28676.2963,570.8961301
E06000025,South Gloucestershire,-2.457492,51.541904,496.965114,E12000009,South West,282644,62019,181632,38993,140058,31596,90863,17599,142586,30423,90769,21394,30149.09091,568.7401229
E06000026,Plymouth,-4.118286,50.392008,79.834112,E12000009,South West,263100,55606,172483,35011,131065,28491,86869,15705,132035,27115,85614,19306,26135.40373,3295.583722
E06000027,Torbay,-3.554224,50.441756,62.927773,E12000009,South West,135780,26848,82493,26439,66126,13746,40483,11897,69654,13102,42010,14542,23085.39326,2157.711826
